name,address,city,zip_code,latitude,longitude,visited,visited_date
12th and Howe Play Park,1200 W Howe St,Seattle,98119,47.636097,-122.372985,N,
12th Ave S Viewpoint,2821 12TH Ave S,Seattle,98144,47.577953,-122.317765,N,
12th Ave Square Park,564 12th Ave,Seattle,98122,47.607427,-122.316455,N,
132nd Square Park,13101 132nd Ave NE,Kirkland,,47.717363686756656,-122.16564628099525,N,
14th Ave NW Boat Ramp,4400 14th Ave NW,Seattle,98107,47.660775,-122.373536,N,
2nd Avenue South Dock,203 Lake St S,Kirkland,,47.67352254582274,-122.20738532331515,N,
3001 E Madison,3001 E Madison St,Seattle,98112,47.625169,-122.293173,N,
32nd Ave W Boat Launch,32nd Ave W,Seattle,98199,47.632345,-122.398685,N,
6th Ave NW Pocket Park,606  NW 76th St,Seattle,98117,47.684202,-122.363566,N,
A. B. Ernst Park,723 N 35th St,Seattle,98103,47.650087,-122.348826,N,
Adams Street Boat Ramp,Lake Washington Blvd S & S Adams St,Seattle,98118,47.565219,-122.267178,Y,
Albert Davis Park,12526 27th Ave NE,Seattle,98125,47.72016,-122.298752,N,
Alki Beach Park,1702 Alki Ave SW,Seattle,98116,47.582912,-122.402173,Y,
Alki Playground,5817 SW Lander St,Seattle,98116,47.578497,-122.407312,N,
Alvin Larkins Park,1504 34th Ave,Seattle,98122,47.614318,-122.288745,N,
Amy Yee Tennis Center,2000 Martin Luther King Jr Way S,Seattle,98144,47.584876,-122.29742,N,
Anderson Park,7802 168th Avenue NE,Redmond,,47.672914123547024,-122.1155920205671,N,
Andover Place,4000 Beach Dr SW,Seattle,98116,47.568517,-122.409993,Y,
Angle Lake Nature Trail,,SeaTac,98188,47.4261437916588,-122.2940344762787,N,
Angle Lake Park,19408 International Blvd,SeaTac,98188,47.42819458371175,-122.2937520724013,N,
Annex Community Park,425 SW 144th Street,Burien,,47.474165479176214,-122.34233108390107,N,
Arapahoe Triangle,3431 Arapahoe Pl W,Seattle,98199,47.65129,-122.409139,N,
Arbor Lake Park,12380 2nd Avenue S.,Burien,,47.49229687917726,-122.33175578390055,N,
Arroyos Natural Area,4120 Arroyo Dr SW,Seattle,98146,47.505679,-122.387822,N,
Arthur Johnson Park,7901 196th Avenue NE,Redmond,,47.67396669820004,-122.08113972310908,N,
Ashwood Playfield,10875 Northeast 12th Street,Bellevue,98004,47.621091884259,-122.19509886044,N,
Atlantic City Boat Ramp,8702 Seward Park Ave S,Seattle,98118,47.522834,-122.263078,N,
Atlantic Street Park,1501 21st Ave S,Seattle,98144,47.589165,-122.30566,N,
B.F. Day Playground,4020 Fremont Ave N,Seattle,98103,47.65603,-122.349222,N,
Bagley Viewpoint,2548 Delmar Dr E,Seattle,98102,47.643015,-122.318347,N,
Baker Park on Crown Hill,8347 14th Ave NW,Seattle,98117,47.690119,-122.374794,N,
Ballard Commons Park,5701 22nd Ave NW,Seattle,98107,47.670549,-122.385487,N,
Ballard Corners Park,1702 nw 62nd St,Seattle,98107,47.674186,-122.379116,N,
Ballard Playground,2644 NW 60th St,Seattle,98107,47.672786,-122.39155,N,
Ballinger Open Space,2350 NE 200th St,Shoreline,,47.77479384408698,-122.30526730553947,N,
Banner Way Triangle,7802 Banner Way NE,Seattle,98115,47.685762,-122.32343,N,
Bannerwood Sports Park,1790 Richards Road,Bellevue,98005,47.59605,-122.16262,N,
Bar-S Playground,6425 SW Admiral Way,Seattle,98116,47.575195,-122.416054,N,
Bayview Playground,2614 24th Ave W,Seattle,98199,47.643802,-122.386786,N,
Bayview-Kinnear (Lower Kerry Park),3rd Ave W & W Prospect St,Seattle,98119,47.628948,-122.360626,N,
Beacon Hill Playground,1902 13th Ave S,Seattle,98144,47.586226,-122.315325,N,
Beacon Place,1110 S Dearborn St,Seattle,98104,47.596236,-122.318716,N,
Bear and Evans Creek Open Space,Non-continuous; along Bear Creek from NE 95th Street to Union Hill Road,Redmond,,47.68248082054025,-122.08734944382725,N,
Bear Creek Park,Avondale Rd/Bear Creek Village,Redmond,,47.6723805623535,-122.1085147222586,N,
Beaver Pond Natural Area on Thornton Creek,5th Ave NE & NE 103rd St,Seattle,98125,47.703288,-122.323168,N,
Beck Place,5809 15th Ave NE,Seattle,98105,47.671888,-122.312027,N,
Beer Sheva Park,8650 55th Ave S,Seattle,98118,47.524191,-122.263223,N,
Bel-Red Mini Park,12300 Bel-Red Road,Bellevue,98005,47.619636257531,-122.1761595001,N,
Bell Street Park,1st to 5th Ave on Bell St,Seattle,98121,47.614696,-122.344866,N,
