name,city,in_main_csv,existing_address,existing_zip,existing_latitude,existing_longitude,found_address,found_zip,found_latitude,found_longitude,source_url,confidence_note
Auburn Environmental Park Open Space,Auburn,Y,,,47.31580188274212,-122.24814427982642,"413 Western St NW (main park's address; this is the west/Phase-2 expansion area, no separate formal address)",98001,,,https://www.auburnwa.gov/city_hall/parks_arts_recreation/parks_trails/auburn_environmental_park,"medium confidence - reverse-geocode lands on West Valley Highway N, ~0.3 mi west of the main boardwalk entrance, consistent with the park's western expansion area"
Coal Creek Natural Area,Bellevue,Y,,,47.537901833567,-122.13484346867,15400 Newcastle Golf Club Road (Cinder Mine Trailhead),98059,,,https://bellevuewa.gov/city-government/departments/parks/parks-and-trails/nature-trails/coal-creek-natural-area,"high confidence on location (matches OSM Cinder Mine Trailhead within ~1m); jurisdictional quirk - listed as Newcastle 98059 though point falls near Bellevue city limits; other sources cite slightly different house numbers (15376, 15484) on the same road"
Lake Sammamish Landing,Bellevue,Y,,,47.59457204682,-122.1101563611,West Lake Sammamish Parkway SE (no formal address; nearest addressed parcel ~1730 West Lake Sammamish Pkwy SE),98008,,,https://bellevuewa.gov/city-government/departments/parks/parks-and-trails/parks/lake-sammamish-landing,"medium confidence - city's own page gives no street address (non-motorized watercraft rest stop, no parking/dock); nearest addressed building offered as reference point only, not a confirmed address"
Conifer View Park,Bothell,Y,9055 NE 195th St,98011,47.769814794825,-122.220426139044,,,47.770083,-122.218579,https://www.bothellwa.gov/1037/Conifer-View-Park,"high confidence the coordinates are off - user confirmed the marker sits outside the park; this is a very small 1.5-acre park, so even the ~140m gap between the Census-geocoded address and this independently-listed coordinate is enough to miss it; address itself is unchanged/correct"
Doug Allen Sportsfields,Bothell,N,"19417 88th Ave NE, Bothell, WA 98011",,,,19417 88th Ave NE,98011,47.7696,-122.2233,https://www.bothellwa.gov/1665/Doug-Allen-Sportsfields,"approximate - address confirmed by city site/Yelp/Zillow, but not directly in Census TIGER ranges; lat/lon interpolated between neighboring geocoded addresses on the same street"
Former Wayne Golf Course,Bothell,N,,,,,16721 96th Ave NE,98011,47.74912,-122.21341,https://www.bothellwa.gov/1184/Former-Wayne-Golf-Course,"high confidence - clubhouse/main access address from official city page, lat/lon exact-matched by Census Bureau geocoder"
North Creek Sportsfields,Bothell,N,,,,,19016 North Creek Pkwy,98011,47.76863,-122.18484,https://www.bothellwa.gov/1669/North-Creek-Sportsfields,"medium confidence - multi-field complex with several addresses (also 11902/11905 North Creek Pkwy, 19113 120th Ave NE); Field #1 address used as representative, may not be true centroid"
Tall Tree Park,Bothell,Y,19630 89th Pl NE,98011,47.770880690055,-122.220963327941,,,47.7709888,-122.2201747,https://park-usa.nears.me/parks/united-states/washington/bothell/tall-tree-park-bothell-wa/,"high confidence the coordinates are off - user confirmed the marker sits outside the park; this is only a 1-acre park (per Yelp), so even the ~60m gap between the Census-geocoded address and this independently-listed coordinate can miss it; address itself is unchanged/correct"
Volunteer Park,Bothell,N,"9621 Main St, Bothell, WA 98011",,,,9621 Main St,98011,47.75994,-122.21167,https://www.bothellwa.gov/1663/Volunteer-Park,"high confidence - street address confirmed on official city page; lat/lon derived from the same corner parcel's other frontage address, corroborated by RecPlanet"
William Penn Park,Bothell,N,,,,,19900 100th Ave NE,98011,47.77239,-122.20689,https://www.mypacer.com/parks/123275/william-penn-park-bothell,"medium confidence - address not on official city page, from a third-party park directory, confirmed by exact Census geocoder match"
